/* Table of DAC offset/Gain correction per card */
/* pcb_id: gives the unique board id
/* ch[0,1]corr_x_y: for each channel gives the DAC offset/gain correction to apply for the 9 offset/gain valid combination:0/-22db 0/-16db 0/-10db 0/-4db 0/-2db 0/8db 0/14db 0/20db 2.5/14db
/* pcb_id ch0_0_-22 ch0_0_-16 ch0_0_-10 ch0_0_-4 ch0_0_2 ch0_0_8 ch0_0_14 ch0_0_20 ch0_2.5_14 ch1_0_-22 ch1_0_-16 ch1_0_-10 ch1_0_-4 ch1_0_2 ch1_0_8 ch1_0_14 ch1_0_20 ch1_2.5_14
0x970000002b449822 0x02718000 0x01578000 0x00f28000 0x00bb8000 0x008c8000 0x00768000 0x00658000 0x00588000 0x01f48000 0x04c28000 0x02ce8000 0x01b58000 0x01288000 0x00d28000 0x00ab8000 0x008c8000 0x007d8000 0x020c8000
0x6e0000002b2fe822 0x01f48000 0x01488000 0x00f28000 0x00b38000 0x008c8000 0x00768000 0x005f8000 0x00598000 0x022e8000 0x053f8000 0x02de8000 0x01ad8000 0x01218000 0x00c68000 0x00978000 0x00768000 0x00688000 0x01d78000
0xce0000002b4a0522 0x04c28000 0x02fd8000 0x019e8000 0x01118000 0x00d28000 0x00a38000 0x00878000 0x007a8000 0x02208000 0x02328000 0x01a58000 0x01288000 0x00ee8000 0x00c48000 0x00b08000 0x00978000 0x008f8000 0x020c8000
0x230000002b371422 0x057e8000 0x034b8000 0x01ec8000 0x01388000 0x00e48000 0x00b38000 0x00938000 0x00828000 0x02498000 0x05fb8000 0x038a8000 0x02228000 0x01738000 0x01018000 0x00ca8000 0x00a48000 0x00948000 0x02258000
0x0500000023a33b22 0x05208000 0x02fd8000 0x01dc8000 0x01488000 0x00f48000 0x00c28000 0x00a28000 0x00908000 0x02488000 0x038a8000 0x02038000 0x01578000 0x01058000 0x00b88000 0x00978000 0x00828000 0x00728000 0x02178000
0xa500000023b33f22 0x06598000 0x038a8000 0x021b8000 0x015b8000 0x00fb8000 0x00c18000 0x009d8000 0x00898000 0x02298000 0x05bc8000 0x036b8000 0x020b8000 0x015b8000 0x01038000 0x00c58000 0x00a48000 0x00938000 0x01ea8000
0xa200000023b6f222 0x06398000 0x03b98000 0x023a8000 0x01868000 0x01198000 0x00df8000 0x00b68000 0x00a48000 0x02538000 0x061a8000 0x036b8000 0x02228000 0x017a8000 0x01058000 0x00d28000 0x00ac8000 0x009c8000 0x02398000
0xab00000023bb8e22 0x04848000 0x02718000 0x017e8000 0x01218000 0x00cc8000 0x00a78000 0x00888000 0x00798000 0x025b8000 0x04658000 0x02bf8000 0x01ad8000 0x01248000 0x00ce8000 0x00a48000 0x00848000 0x00798000 0x01cc8000
0xfe00000023a84522 0x053f8000 0x02ee8000 0x01ec8000 0x01308000 0x00e28000 0x00a68000 0x00898000 0x007b8000 0x01a08000 0x059d8000 0x035b8000 0x01fb8000 0x01448000 0x00ee8000 0x00b78000 0x00958000 0x00858000 0x01eb8000
0x4300000023b0fe22 0x06398000 0x037a8000 0x020b8000 0x01578000 0x00ec8000 0x00b98000 0x00948000 0x00848000 0x01da8000 0x04268000 0x02908000 0x01968000 0x01198000 0x00d68000 0x00af8000 0x00988000 0x00898000 0x02518000
